table,column,dtype,unit,grain,description,available_at,role,nullable_in_this_release,missing_count,null_meaning,generation_family,generator_expressions,parent_symbol_definitions,calibration_status
die_metrology,overlay_error_x_nm,float64,nm,one sampled core DRAM die,Signed X pattern-registration error at the modeled lithography module.,at available_time_utc,observation_or_process_context,True,145468,Detailed metrology not sampled or instrument dropout; join die_metrology.metrology_missing_reason.,"Shared lot/wafer/module state, radial and local-cluster effects, measurement noise, sampled metrology and screening.",generate.py:195: sampled(ox),"ox = 0.8*lith+0.25*dsite[:,0]/10+rng.normal(0,0.55,n_d)",illustrative_simulation_assumption
die_metrology,overlay_error_y_nm,float64,nm,one sampled core DRAM die,Signed Y pattern-registration error at the modeled lithography module.,at available_time_utc,observation_or_process_context,True,145468,Detailed metrology not sampled or instrument dropout; join die_metrology.metrology_missing_reason.,"Shared lot/wafer/module state, radial and local-cluster effects, measurement noise, sampled metrology and screening.",generate.py:195: sampled(oy),"oy = -0.3*lith+0.25*dsite[:,1]/10+rng.normal(0,0.55,n_d)",illustrative_simulation_assumption
die_metrology,film_thickness_nm,float64,nm,one sampled core DRAM die,Sampled deposited film thickness at the modeled deposition module.,at available_time_utc,observation_or_process_context,True,145468,Detailed metrology not sampled or instrument dropout; join die_metrology.metrology_missing_reason.,"Shared lot/wafer/module state, radial and local-cluster effects, measurement noise, sampled metrology and screening.",generate.py:195: sampled(film),"film = 40+0.7*dep+0.5*radius**2+rng.normal(0,0.4,n_d)",illustrative_simulation_assumption
die_metrology,etch_depth_nm,float64,nm,one sampled core DRAM die,"Sampled etched depth of the generic DRAM module, distinct from TSV etched depth.",at available_time_utc,observation_or_process_context,True,145468,Detailed metrology not sampled or instrument dropout; join die_metrology.metrology_missing_reason.,"Shared lot/wafer/module state, radial and local-cluster effects, measurement noise, sampled metrology and screening.","generate.py:195: sampled(100+2*etch+die_stress+rng.normal(0,1,n_d))","die_stress = 0.7*lot_effect[dl]+wafer_effect[dw]+0.45*radius**2+local+rng.normal(0,0.3,n_d) | n_d = n_w*nd | etch = process_latent['ETCHING'][dw]",illustrative_simulation_assumption
die_metrology,particle_count,int64,count/index,one sampled core DRAM die,Inspected contamination-particle count at the sampled die.,at available_time_utc,observation_or_process_context,False,0,No missing values in this generated cohort.,"Shared lot/wafer/module state, radial and local-cluster effects, measurement noise, sampled metrology and screening.",generate.py:195: particles,particles = rng.poisson(np.exp(-0.8+0.65*die_stress)),illustrative_simulation_assumption
die_metrology,sheet_resistance_ohm_sq,float64,ohm/square,one sampled core DRAM die,"Sampled thin-film sheet resistance, in ohms per square.",at available_time_utc,observation_or_process_context,True,145468,Detailed metrology not sampled or instrument dropout; join die_metrology.metrology_missing_reason.,"Shared lot/wafer/module state, radial and local-cluster effects, measurement noise, sampled metrology and screening.","generate.py:195: sampled(70*np.exp(0.015*dep+rng.normal(0,0.02,n_d)))",dep = process_latent['DEPOSITION'][dw] | n_d = n_w*nd,illustrative_simulation_assumption
die_metrology,final_die_thickness_um,float64,um,one sampled core DRAM die,Silicon thickness after thinning; also used as final TSV conductor length.,at available_time_utc,observation_or_process_context,False,0,No missing values in this generated cohort.,"Shared lot/wafer/module state, radial and local-cluster effects, measurement noise, sampled metrology and screening.",generate.py:195: final_thickness,"final_thickness = positive(nominal_thickness+0.5*thinning+0.35*(radius**2-0.5)+rng.normal(0,0.22,n_d),20)",illustrative_simulation_assumption
die_metrology,thickness_variation_um,float64,um,one sampled core DRAM die,"Nonnegative within-die thickness range surrogate, not across-wafer sample standard deviation.",at available_time_utc,observation_or_process_context,False,0,No missing values in this generated cohort.,"Shared lot/wafer/module state, radial and local-cluster effects, measurement noise, sampled metrology and screening.",generate.py:195: ttv,"ttv = positive(0.7+0.22*abs(thinning)+0.2*radius+rng.normal(0,0.12,n_d),0.15)",illustrative_simulation_assumption
die_metrology,die_warpage_um,float64,um,one sampled core DRAM die,Nonnegative die-curvature magnitude after thinning.,at available_time_utc,observation_or_process_context,False,0,No missing values in this generated cohort.,"Shared lot/wafer/module state, radial and local-cluster effects, measurement noise, sampled metrology and screening.",generate.py:195: warpage,"warpage = positive(0.5+0.3*ttv+0.3*abs(thinning)+0.22*(hl[dw]==12)+0.22*local+rng.normal(0,0.18,n_d),0.05)",illustrative_simulation_assumption
die_metrology,backside_roughness_nm,float64,nm,one sampled core DRAM die,Sampled backside surface-roughness proxy.,at available_time_utc,observation_or_process_context,True,145468,Detailed metrology not sampled or instrument dropout; join die_metrology.metrology_missing_reason.,"Shared lot/wafer/module state, radial and local-cluster effects, measurement noise, sampled metrology and screening.",generate.py:195: sampled(roughness),"roughness = positive(8+1.6*thinning+3*local+rng.normal(0,1,n_d),1)",illustrative_simulation_assumption
die_metrology,microcrack_detected,int64,0/1,one sampled core DRAM die,Binary inspection result for a modeled microcrack. Perfect crack detection is assumed here.,at available_time_utc,observation_or_process_context,False,0,No missing values in this generated cohort.,"Shared lot/wafer/module state, radial and local-cluster effects, measurement noise, sampled metrology and screening.",generate.py:195: cracks,"cracks = rng.binomial(1,crack_prob)",illustrative_simulation_assumption
die_metrology,leakage_current_ua,float64,uA,one sampled core DRAM die,Die leakage-current proxy at the simulated incoming screen.,at available_time_utc,observation_or_process_context,False,0,No missing values in this generated cohort.,"Shared lot/wafer/module state, radial and local-cluster effects, measurement noise, sampled metrology and screening.",generate.py:195: leakage,"leakage = np.exp(np.log(0.7)+0.23*die_stress+0.04*particles+rng.normal(0,0.18,n_d))",illustrative_simulation_assumption
die_metrology,repair_count,int64,count/index,one sampled core DRAM die,Count of repair resources used; more than eight causes rejection in this scenario.,at available_time_utc,observation_or_process_context,False,0,No missing values in this generated cohort.,"Shared lot/wafer/module state, radial and local-cluster effects, measurement noise, sampled metrology and screening.",generate.py:195: repairs,repairs = rng.poisson(np.exp(-0.3+0.55*die_stress+0.18*particles)),illustrative_simulation_assumption
die_metrology,wafer_probe_pass,int64,0/1,one sampled core DRAM die,Incoming electrical screen passed; latent cell faults can escape its imperfect detector.,at available_time_utc,upstream_screening_outcome,False,0,No missing values in this generated cohort.,"Shared lot/wafer/module state, radial and local-cluster effects, measurement noise, sampled metrology and screening.",generate.py:195: probe_pass.astype(int),probe_pass = ~(probe_detect | (repairs>8)),illustrative_simulation_assumption
die_metrology,bump_height_um,float64,um,one sampled core DRAM die,Mean microbump height conditional on product and bump-process state.,at available_time_utc,observation_or_process_context,False,0,No missing values in this generated cohort.,"Shared lot/wafer/module state, radial and local-cluster effects, measurement noise, sampled metrology and screening.",generate.py:225: bumpheight,"bumpheight = np.where(hl[dw]==12,13.,15.)+0.14*bumpstate+rng.normal(0,0.15,n_d)",illustrative_simulation_assumption
die_metrology,bump_height_variation_um,float64,um,one sampled core DRAM die,Bump coplanarity/height range surrogate.,at available_time_utc,observation_or_process_context,False,0,No missing values in this generated cohort.,"Shared lot/wafer/module state, radial and local-cluster effects, measurement noise, sampled metrology and screening.",generate.py:226: coplanarity,"coplanarity = positive(0.45+0.12*abs(bumpstate)+0.08*warpage+rng.normal(0,0.08,n_d),0.05)",illustrative_simulation_assumption
die_metrology,missing_bump_count,int64,count/index,one sampled core DRAM die,"Detected missing-bump fault, modeled as a rare 0/1 count.",at available_time_utc,observation_or_process_context,False,0,No missing values in this generated cohort.,"Shared lot/wafer/module state, radial and local-cluster effects, measurement noise, sampled metrology and screening.",generate.py:227: missing_bumps,"missing_bumps = rng.binomial(1,sigmoid(-6+0.55*bumpstate+0.3*die_stress))",illustrative_simulation_assumption
die_metrology,bridged_bump_count,int64,count/index,one sampled core DRAM die,"Detected bridged-bump fault, modeled as a rare 0/1 count.",at available_time_utc,observation_or_process_context,False,0,No missing values in this generated cohort.,"Shared lot/wafer/module state, radial and local-cluster effects, measurement noise, sampled metrology and screening.",generate.py:228: bridged_bumps,"bridged_bumps = rng.binomial(1,sigmoid(-6.5+0.6*bumpstate+0.3*die_stress))",illustrative_simulation_assumption
die_metrology,known_good_die,int64,0/1,one sampled core DRAM die,Passed electrical and TSV screens with no detected crack/missing/bridged bump.,at available_time_utc,upstream_screening_outcome,False,0,No missing values in this generated cohort.,"Shared lot/wafer/module state, radial and local-cluster effects, measurement noise, sampled metrology and screening.",generate.py:230: kgd.astype(int),kgd = probe_pass & tsv_pass & (cracks==0)&(missing_bumps==0)&(bridged_bumps==0),illustrative_simulation_assumption
tsv_inspection,die_id,str,category/text,one sampled core DRAM die,Fictional die identifier for traceability or configuration.,at available_time_utc,identifier_or_metadata,False,0,No missing values in this generated cohort.,TSV geometry and void fraction conditional on etch/fill states; geometric resistance; imperfect continuity screen; sampled geometry.,generate.py:195: die_ids | generate.py:232: die_ids | generate.py:442: die_ids | generate.py:444: die_ids | generate.py:307: None | generate.py:302: die_ids[d],die_ids = np.array([f'D{i+1:07}' for i in range(n_d)]),illustrative_simulation_assumption
tsv_inspection,available_time_utc,str,UTC ISO-8601,one sampled core DRAM die,"Available time, in a wholly simulated chronology.",at available_time_utc,identifier_or_metadata,False,0,No missing values in this generated cohort.,TSV geometry and void fraction conditional on etch/fill states; geometric resistance; imperfect continuity screen; sampled geometry.,generate.py:195: stamp(available_time) | generate.py:232: stamp(available_time),available_time = probe_time+pd.Timedelta(hours=6),illustrative_simulation_assumption
tsv_inspection,tsv_count_assumed,int64,count/index,one sampled core DRAM die,Assumed number of TSVs per die (8192); not a disclosed SK hynix count.,at available_time_utc,observation_or_process_context,False,0,No missing values in this generated cohort.,TSV geometry and void fraction conditional on etch/fill states; geometric resistance; imperfect continuity screen; sampled geometry.,generate.py:232: c['tsv_count_per_die_assumed'],,illustrative_simulation_assumption
tsv_inspection,tsv_pitch_um_assumed,int64,um,one sampled core DRAM die,Assumed TSV pitch (35 um); not a disclosed SK hynix geometry.,at available_time_utc,observation_or_process_context,False,0,No missing values in this generated cohort.,TSV geometry and void fraction conditional on etch/fill states; geometric resistance; imperfect continuity screen; sampled geometry.,generate.py:232: c['tsv_pitch_um_assumed'],,illustrative_simulation_assumption
tsv_inspection,tsv_diameter_um,float64,um,one sampled core DRAM die,Sampled mean TSV opening diameter.,at available_time_utc,observation_or_process_context,True,145468,Detailed metrology not sampled or instrument dropout; join die_metrology.metrology_missing_reason.,TSV geometry and void fraction conditional on etch/fill states; geometric resistance; imperfect continuity screen; sampled geometry.,generate.py:232: sampled(diameter),"diameter = positive(c['tsv_diameter_um']+0.06*tv+0.04*radius+rng.normal(0,0.06,n_d),2)",illustrative_simulation_assumption
tsv_inspection,tsv_etched_depth_um,float64,um,one sampled core DRAM die,Blind-via etched depth before wafer thinning.,at available_time_utc,observation_or_process_context,True,145468,Detailed metrology not sampled or instrument dropout; join die_metrology.metrology_missing_reason.,TSV geometry and void fraction conditional on etch/fill states; geometric resistance; imperfect continuity screen; sampled geometry.,generate.py:232: sampled(blind_depth),"blind_depth = c['tsv_blind_depth_um']+0.5*tv+rng.normal(0,0.45,n_d)",illustrative_simulation_assumption
tsv_inspection,tsv_etch_aspect_ratio,float64,dimensionless,one sampled core DRAM die,Derived pre-thinning etched depth divided by opening diameter.,at available_time_utc,observation_or_process_context,True,145468,Detailed metrology not sampled or instrument dropout; join die_metrology.metrology_missing_reason.,TSV geometry and void fraction conditional on etch/fill states; geometric resistance; imperfect continuity screen; sampled geometry.,generate.py:232: sampled(blind_depth/diameter),"blind_depth = c['tsv_blind_depth_um']+0.5*tv+rng.normal(0,0.45,n_d) | diameter = positive(c['tsv_diameter_um']+0.06*tv+0.04*radius+rng.normal(0,0.06,n_d),2)",derived_identity from simulated inputs
tsv_inspection,tsv_conductor_length_um,float64,um,one sampled core DRAM die,"Final conductive TSV length after thinning, equal to final_die_thickness_um.",at available_time_utc,observation_or_process_context,False,0,No missing values in this generated cohort.,TSV geometry and void fraction conditional on etch/fill states; geometric resistance; imperfect continuity screen; sampled geometry.,generate.py:232: final_thickness,"final_thickness = positive(nominal_thickness+0.5*thinning+0.35*(radius**2-0.5)+rng.normal(0,0.22,n_d),20)",derived_identity from simulated inputs
tsv_inspection,tsv_sidewall_angle_deg,float64,degree,one sampled core DRAM die,Sampled TSV sidewall angle to wafer plane; 90 degrees denotes vertical.,at available_time_utc,observation_or_process_context,True,145468,Detailed metrology not sampled or instrument dropout; join die_metrology.metrology_missing_reason.,TSV geometry and void fraction conditional on etch/fill states; geometric resistance; imperfect continuity screen; sampled geometry.,"generate.py:232: sampled(np.clip(89.5-0.08*abs(tv)+rng.normal(0,0.06,n_d),87,90))",n_d = n_w*nd | tv = process_latent['TSV_ETCH'][dw],illustrative_simulation_assumption
tsv_inspection,tsv_liner_thickness_nm,float64,nm,one sampled core DRAM die,Sampled electrical isolation-liner thickness.,at available_time_utc,observation_or_process_context,True,145468,Detailed metrology not sampled or instrument dropout; join die_metrology.metrology_missing_reason.,TSV geometry and void fraction conditional on etch/fill states; geometric resistance; imperfect continuity screen; sampled geometry.,"generate.py:232: sampled(200+4*process_latent['TSV_LINER'][dw]+rng.normal(0,3,n_d))","n_d = n_w*nd | dw = np.repeat(wi,nd) | process_latent = {}",illustrative_simulation_assumption
tsv_inspection,tsv_copper_void_pct,float64,percent 0..100,one sampled core DRAM die,Mean per-via copper-fill void-volume percentage surrogate; not percent faulty TSVs.,at available_time_utc,observation_or_process_context,True,145468,Detailed metrology not sampled or instrument dropout; join die_metrology.metrology_missing_reason.,TSV geometry and void fraction conditional on etch/fill states; geometric resistance; imperfect continuity screen; sampled geometry.,generate.py:232: sampled(void),"void = np.minimum(15, np.exp(-1.2+0.45*fill+0.28*die_stress+rng.normal(0,0.35,n_d)))",illustrative_simulation_assumption
tsv_inspection,tsv_resistance_mohm,float64,mOhm,one sampled core DRAM die,"Mean conductive-path resistance proxy from final geometry, void fraction, 3 mOhm contact term and lognormal measurement noise.",at available_time_utc,observation_or_process_context,False,0,No missing values in this generated cohort.,TSV geometry and void fraction conditional on etch/fill states; geometric resistance; imperfect continuity screen; sampled geometry.,generate.py:232: resistance,"resistance = (c['copper_resistivity_ohm_m']*final_thickness*1e-6/(np.pi*(diameter*1e-6/2)**2)                   *1000/(1-void/100)+3)*np.exp(rng.normal(0,0.025,n_d))",illustrative_simulation_assumption
tsv_inspection,detected_tsv_open_count,int64,count/index,one sampled core DRAM die,Detected aggregate TSV-open fault count; 0/1 model with 93% detection.,at available_time_utc,observation_or_process_context,False,0,No missing values in this generated cohort.,TSV geometry and void fraction conditional on etch/fill states; geometric resistance; imperfect continuity screen; sampled geometry.,generate.py:232: detected_open.astype(int),detected_open = tsv_bad*(rng.random(n_d)<0.93),illustrative_simulation_assumption
tsv_inspection,detected_tsv_short_count,int64,count/index,one sampled core DRAM die,Detected aggregate TSV-short fault count; 0/1 model with 97% detection.,at available_time_utc,observation_or_process_context,False,0,No missing values in this generated cohort.,TSV geometry and void fraction conditional on etch/fill states; geometric resistance; imperfect continuity screen; sampled geometry.,generate.py:232: detected_short.astype(int),detected_short = tsvshort*(rng.random(n_d)<0.97),illustrative_simulation_assumption
tsv_inspection,tsv_continuity_pass,int64,0/1,one sampled core DRAM die,No detected TSV open or short; hidden faults can remain.,at available_time_utc,upstream_screening_outcome,False,0,No missing values in this generated cohort.,TSV geometry and void fraction conditional on etch/fill states; geometric resistance; imperfect continuity screen; sampled geometry.,generate.py:232: tsv_pass.astype(int),tsv_pass = (detected_open==0)&(detected_short==0),illustrative_simulation_assumption
base_die,base_die_id,str,category/text,one base die,Fictional base die identifier for traceability or configuration.,at probe_time_utc except inventory_status,identifier_or_metadata,False,0,No missing values in this generated cohort.,"Separate base pool per receiving lot: lognormal leakage, noisy thickness, latent fault and imperfect incoming screen.",generate.py:364: bid | generate.py:267: bids[j] | generate.py:307: bid | generate.py:302: None,bid = bids[b] | bids = [f'B{next_base+j:07}' for j in range(nb)],illustrative_simulation_assumption
base_die,base_lot_id,str,category/text,one base die,Fictional base lot identifier for traceability or configuration.,at probe_time_utc except inventory_status,identifier_or_metadata,False,0,No missing values in this generated cohort.,"Separate base pool per receiving lot: lognormal leakage, noisy thickness, latent fault and imperfect incoming screen.",generate.py:267: f'BL{l+1:04}',,illustrative_simulation_assumption
base_die,receiving_lot_id,str,category/text,one base die,Fictional receiving lot identifier for traceability or configuration.,at probe_time_utc except inventory_status,identifier_or_metadata,False,0,No missing values in this generated cohort.,"Separate base pool per receiving lot: lognormal leakage, noisy thickness, latent fault and imperfect incoming screen.",generate.py:267: lots.lot_id.iloc[l],"lots = pd.DataFrame(dict(lot_id=[f'L{i+1:04}' for i in li], release_time_utc=stamp(released),         split=splits, product_generation='HBM3E', stack_layer_count=h,         capacity_gb=h*c['core_die_density_gb'], scenario=c['scenario'],         material_batch_id=[f'MAT{i//6+1:03}' for i in li], wafers_in_cohort=nw,         sampled_dies_per_wafer=nd))",illustrative_simulation_assumption
base_die,base_die_source,str,category/text,one base die,Fictional internal base-die source consistent with HBM3E scenario scope.,at probe_time_utc except inventory_status,observation_or_process_context,False,0,No missing values in this generated cohort.,"Separate base pool per receiving lot: lognormal leakage, noisy thickness, latent fault and imperfect incoming screen.",generate.py:267: 'synthetic_internal_HBM3E',,illustrative_simulation_assumption
base_die,probe_time_utc,str,UTC ISO-8601,one base die,"Probe time, in a wholly simulated chronology.",at probe_time_utc except inventory_status,identifier_or_metadata,False,0,No missing values in this generated cohort.,"Separate base pool per receiving lot: lognormal leakage, noisy thickness, latent fault and imperfect incoming screen.",generate.py:267: base_test_time.strftime('%Y-%m-%dT%H:%M:%SZ'),base_test_time = released[l]+pd.Timedelta(days=5),illustrative_simulation_assumption
base_die,base_die_thickness_um,float64,um,one base die,"Base-die silicon thickness, separate from core DRAM thickness.",at probe_time_utc except inventory_status,observation_or_process_context,False,0,No missing values in this generated cohort.,"Separate base pool per receiving lot: lognormal leakage, noisy thickness, latent fault and imperfect incoming screen.",generate.py:416: bthick[b] | generate.py:267: bthick[j],"bthick = c['base_die_thickness_um']+rbase.normal(0,0.35,nb) | b = available_bases[k]",illustrative_simulation_assumption
base_die,base_leakage_current_ua,float64,uA,one base die,Base-die incoming leakage measurement.,at probe_time_utc except inventory_status,observation_or_process_context,False,0,No missing values in this generated cohort.,"Separate base pool per receiving lot: lognormal leakage, noisy thickness, latent fault and imperfect incoming screen.",generate.py:416: base_leak[b] | generate.py:267: base_leak[j],"base_leak = np.exp(np.log(1.2)+rbase.normal(0,0.2,nb)+0.1*lot_effect[l]) | b = available_bases[k]",illustrative_simulation_assumption
base_die,base_probe_pass,int64,0/1,one base die,Incoming base-die test passed; the detector may miss a latent fault.,at probe_time_utc except inventory_status,upstream_screening_outcome,False,0,No missing values in this generated cohort.,"Separate base pool per receiving lot: lognormal leakage, noisy thickness, latent fault and imperfect incoming screen.",generate.py:267: int(base_ok[j]),base_ok = ~base_detect,illustrative_simulation_assumption
base_die,split,str,category/text,one base die,"Preassigned time-ordered lot partition: train, validation or test.",at probe_time_utc except inventory_status,identifier_or_metadata,False,0,No missing values in this generated cohort.,"Separate base pool per receiving lot: lognormal leakage, noisy thickness, latent fault and imperfect incoming screen.",generate.py:50: splits | generate.py:72: splits[wlot] | generate.py:364: splits[l] | generate.py:267: splits[l] | generate.py:426: splits[l],"splits = np.where(li < train_end, 'train', np.where(li < val_end, 'validation', 'test')) | wlot = wi//nw",illustrative_simulation_assumption
base_die,inventory_status,str,category/text,one base die,"rejected, assembled or eligible_unassigned for a base die.",at probe_time_utc except inventory_status,post_selection_outcome_metadata,False,0,No missing values in this generated cohort.,"Separate base pool per receiving lot: lognormal leakage, noisy thickness, latent fault and imperfect incoming screen.","generate.py:431: np.where(tables['base_die'].base_probe_pass.eq(0),'rejected',         np.where(tables['base_die'].base_die_id.isin(used_base),'assembled','eligible_unassigned'))",used_base = set(),illustrative_simulation_assumption
stack_membership,stack_id,str,category/text,one physical die/stack assignment,Fictional stack identifier for traceability or configuration.,at placement_time_utc,identifier_or_metadata,False,0,No missing values in this generated cohort.,Single-use eligible core/base allocation; core placement noise depends on assembly state. Base is layer zero.,generate.py:442: assigned_stack | generate.py:364: sid | generate.py:307: sid | generate.py:379: sid | generate.py:397: sid | generate.py:405: sid | generate.py:426: sid | generate.py:302: sid,"assigned_stack = np.full(n_d,'',dtype=object) | sid = f'S{next_stack:06}'",illustrative_simulation_assumption
stack_membership,die_role,str,category/text,one physical die/stack assignment,core DRAM die or base die. These roles have different ID columns.,at placement_time_utc,observation_or_process_context,False,0,No missing values in this generated cohort.,Single-use eligible core/base allocation; core placement noise depends on assembly state. Base is layer zero.,generate.py:307: 'base' | generate.py:302: 'core',,illustrative_simulation_assumption
stack_membership,die_id,str,category/text,one physical die/stack assignment,Fictional die identifier for traceability or configuration.,at placement_time_utc,identifier_or_metadata,True,17793,Base/core role uses a different ID; placement observations apply to core rows only.,Single-use eligible core/base allocation; core placement noise depends on assembly state. Base is layer zero.,generate.py:195: die_ids | generate.py:232: die_ids | generate.py:442: die_ids | generate.py:444: die_ids | generate.py:307: None | generate.py:302: die_ids[d],die_ids = np.array([f'D{i+1:07}' for i in range(n_d)]),illustrative_simulation_assumption
stack_membership,base_die_id,str,category/text,one physical die/stack assignment,Fictional base die identifier for traceability or configuration.,at placement_time_utc,identifier_or_metadata,True,180648,Base/core role uses a different ID; placement observations apply to core rows only.,Single-use eligible core/base allocation; core placement noise depends on assembly state. Base is layer zero.,generate.py:364: bid | generate.py:267: bids[j] | generate.py:307: bid | generate.py:302: None,bid = bids[b] | bids = [f'B{next_base+j:07}' for j in range(nb)],illustrative_simulation_assumption
stack_membership,layer_index,int64,count/index,one physical die/stack assignment,0 for the base die; 1 through stack_layer_count for DRAM dies.,at placement_time_utc,observation_or_process_context,False,0,No missing values in this generated cohort.,Single-use eligible core/base allocation; core placement noise depends on assembly state. Base is layer zero.,generate.py:307: 0 | generate.py:302: j+1,,illustrative_simulation_assumption
stack_membership,placement_time_utc,str,UTC ISO-8601,one physical die/stack assignment,"Placement time, in a wholly simulated chronology.",at placement_time_utc,identifier_or_metadata,False,0,No missing values in this generated cohort.,Single-use eligible core/base allocation; core placement noise depends on assembly state. Base is layer zero.,generate.py:307: start.strftime('%Y-%m-%dT%H:%M:%SZ') | generate.py:302: (start+pd.Timedelta(seconds=10*(j+1))).strftime('%Y-%m-%dT%H:%M:%SZ'),"start = wafer_start + pd.to_timedelta(si*8, unit='h')",illustrative_simulation_assumption
stack_membership,alignment_offset_x_um,float64,um,one physical die/stack assignment,Signed incremental placement error in X for a core layer.,at placement_time_utc,observation_or_process_context,True,17793,Base/core role uses a different ID; placement observations apply to core rows only.,Single-use eligible core/base allocation; core placement noise depends on assembly state. Base is layer zero.,generate.py:307: None | generate.py:302: px[j],"px = rng.normal(0,0.23,hh)+0.14*ast",illustrative_simulation_assumption
stack_membership,alignment_offset_y_um,float64,um,one physical die/stack assignment,Signed incremental placement error in Y for a core layer.,at placement_time_utc,observation_or_process_context,True,17793,Base/core role uses a different ID; placement observations apply to core rows only.,Single-use eligible core/base allocation; core placement noise depends on assembly state. Base is layer zero.,generate.py:307: None | generate.py:302: py[j],"py = rng.normal(0,0.23,hh)-0.08*ast",illustrative_simulation_assumption
stack_membership,rotation_error_deg,float64,degree,one physical die/stack assignment,Signed incremental die-placement rotation error.,at placement_time_utc,observation_or_process_context,True,17793,Base/core role uses a different ID; placement observations apply to core rows only.,Single-use eligible core/base allocation; core placement noise depends on assembly state. Base is layer zero.,generate.py:307: None | generate.py:302: angle[j],"angle = rng.normal(0,0.006,hh)",illustrative_simulation_assumption
stack_membership,placement_force_n,float64,N,one physical die/stack assignment,"Die-placement force, not mass-reflow furnace pressure.",at placement_time_utc,observation_or_process_context,True,17793,Base/core role uses a different ID; placement observations apply to core rows only.,Single-use eligible core/base allocation; core placement noise depends on assembly state. Base is layer zero.,generate.py:307: None | generate.py:302: force[j],"force = positive(1.2+0.06*ast+rng.normal(0,0.05,hh),0.4)",illustrative_simulation_assumption
stack_membership,placement_temperature_c,float64,degC,one physical die/stack assignment,Temperature at the placement operation; actual mass reflow occurs later.,at placement_time_utc,observation_or_process_context,True,17793,Base/core role uses a different ID; placement observations apply to core rows only.,Single-use eligible core/base allocation; core placement noise depends on assembly state. Base is layer zero.,generate.py:307: None | generate.py:302: placetemp[j],"placetemp = 60+1.3*ast+rng.normal(0,0.6,hh)",illustrative_simulation_assumption
stack_membership,placement_duration_sec,float64,s,one physical die/stack assignment,Duration of the modeled placement contact operation.,at placement_time_utc,observation_or_process_context,True,17793,Base/core role uses a different ID; placement observations apply to core rows only.,Single-use eligible core/base allocation; core placement noise depends on assembly state. Base is layer zero.,"generate.py:307: None | generate.py:302: 0.8+abs(rng.normal(0,0.12))",,illustrative_simulation_assumption
stack_membership,inter_die_gap_um,float64,um,one physical die/stack assignment,"Interface gap below this core die, including core layer 1 to base.",at placement_time_utc,observation_or_process_context,True,17793,Base/core role uses a different ID; placement observations apply to core rows only.,Single-use eligible core/base allocation; core placement noise depends on assembly state. Base is layer zero.,generate.py:307: None | generate.py:302: gaps[j],"gaps = bumpheight[di]+rng.normal(0,0.07,hh)",illustrative_simulation_assumption
stack_assembly,stack_id,str,category/text,one assembled HBM stack,Fictional stack identifier for traceability or configuration.,at feature_available_time_utc,identifier_or_metadata,False,0,No missing values in this generated cohort.,"Conditional placement, reflow and molding process; geometry from constituents; package inspection before final acceptance.",generate.py:442: assigned_stack | generate.py:364: sid | generate.py:307: sid | generate.py:379: sid | generate.py:397: sid | generate.py:405: sid | generate.py:426: sid | generate.py:302: sid,"assigned_stack = np.full(n_d,'',dtype=object) | sid = f'S{next_stack:06}'",illustrative_simulation_assumption
stack_assembly,lot_id,str,category/text,one assembled HBM stack,Fictional lot identifier for traceability or configuration.,at feature_available_time_utc,identifier_or_metadata,False,0,No missing values in this generated cohort.,"Conditional placement, reflow and molding process; geometry from constituents; package inspection before final acceptance.",generate.py:50: [f'L{i+1:04}' for i in li] | generate.py:72: lots.lot_id.to_numpy()[wlot] | generate.py:364: lots.lot_id.iloc[l],"li = np.arange(nl) | wlot = wi//nw | lots = pd.DataFrame(dict(lot_id=[f'L{i+1:04}' for i in li], release_time_utc=stamp(released),         split=splits, product_generation='HBM3E', stack_layer_count=h,         capacity_gb=h*c['core_die_density_gb'], scenario=c['scenario'],         material_batch_id=[f'MAT{i//6+1:03}' for i in li], wafers_in_cohort=nw,         sampled_dies_per_wafer=nd))",illustrative_simulation_assumption
stack_assembly,split,str,category/text,one assembled HBM stack,"Preassigned time-ordered lot partition: train, validation or test.",at feature_available_time_utc,identifier_or_metadata,False,0,No missing values in this generated cohort.,"Conditional placement, reflow and molding process; geometry from constituents; package inspection before final acceptance.",generate.py:50: splits | generate.py:72: splits[wlot] | generate.py:364: splits[l] | generate.py:267: splits[l] | generate.py:426: splits[l],"splits = np.where(li < train_end, 'train', np.where(li < val_end, 'validation', 'test')) | wlot = wi//nw",illustrative_simulation_assumption
stack_assembly,product_generation,str,category/text,one assembled HBM stack,HBM3E for this release; no HBM4 process sourcing is assumed.,at feature_available_time_utc,observation_or_process_context,False,0,No missing values in this generated cohort.,"Conditional placement, reflow and molding process; geometry from constituents; package inspection before final acceptance.",generate.py:50: 'HBM3E' | generate.py:364: 'HBM3E',,public_architecture_context; simulated row allocation (SOURCES.md)
stack_assembly,stack_layer_count,int64,count/index,one assembled HBM stack,"Number of core DRAM dies, excluding the base die.",at feature_available_time_utc,observation_or_process_context,False,0,No missing values in this generated cohort.,"Conditional placement, reflow and molding process; geometry from constituents; package inspection before final acceptance.",generate.py:50: h | generate.py:72: hl | generate.py:195: hl[dw] | generate.py:364: hh | generate.py:141: hh,"h = np.where(rng.random(nl) < c['product_12_high_fraction'], 12, 8) | hl = h[wlot] | dw = np.repeat(wi,nd) | hh = int(h[l])",public_architecture_context; simulated row allocation (SOURCES.md)
